Country,TotalCases,TotalDeaths,Recovered,ActiveCases,SeriousCases,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Continent,Population,MedianAge
United States of America,1010507,56803,138990,814714,14186,3053.0,172.0,5696928,17211,North America,331002651,38
Spain,229422,23521,120832,85069,7764,4907.0,503.0,1345560,28779,Europe,46754778,45
Italy,199414,26977,66624,105813,1956,3298.0,446.0,1789662,29600,Europe,60461826,47
France,165842,23293,45513,97036,4608,2541.0,357.0,463662,7103,Europe,65273511,42
Germany,158758,6126,114500,38132,2409,1895.0,73.0,2072669,24738,Europe,83783942,46
United Kingdom,157149,21092,0,135713,1559,2315.0,311.0,719910,10605,Europe,67886011,40
Turkey,112261,2900,33791,75570,1736,1331.0,34.0,918885,10895,Asia,84339067,32
Iran,91472,5806,70933,14733,3011,1089.0,69.0,432329,5147,Asia,83992949,32
Russia,87147,794,7346,79007,2300,597.0,5.0,3019434,20690,Europe,145934462,40
China,82836,4633,77555,648,50,58.0,3.0,0,0,Asia,1439323776,38
Brazil,67446,4603,31142,31701,8318,317.0,22.0,339552,1597,South America,212559417,33
Canada,48500,2707,18268,27525,557,1285.0,72.0,733705,19440,North America,37742154,41
Belgium,46687,7207,10878,28602,903,4028.0,622.0,214042,18468,Europe,11589623,42
Netherlands,38245,4518,0,33477,905,2232.0,264.0,193950,11319,Europe,17134872,43
India,29451,939,7137,21375,0,21.0,0.7,665819,482,Asia,1380004385,28
Switzerland,29164,1665,22200,5299,185,3370.0,192.0,245300,28343,Europe,8654622,43
Peru,28699,782,8425,19492,598,870.0,24.0,239563,7266,South America,32971854,31
Portugal,24027,928,1357,21742,176,2356.0,91.0,360155,35321,Europe,10196709,46
Ecuador,23240,663,1557,21020,146,1317.0,38.0,61529,3487,South America,17643054,28
Ireland,19648,1102,9233,9313,146,3979.0,223.0,127319,25785,Europe,4937786,38
Sweden,18926,2274,1005,15647,399,1874.0,225.0,94500,9357,Europe,10099265,41
Saudi Arabia,18811,144,2531,16136,117,540.0,4.0,200000,5745,Asia,34813871,32
Israel,15555,204,7200,8151,129,1797.0,24.0,302691,34971,Asia,8655535,30
Mexico,15529,1434,9086,5009,378,120.0,11.0,71103,551,North America,128932753,29
Austria,15274,549,12362,2363,140,1696.0,61.0,232537,25819,Europe,9006398,43
Singapore,14423,14,1095,13314,20,2465.0,2.0,121774,20815,Asia,5850342,42
Pakistan,13915,292,3029,10594,111,63.0,1.0,150756,682,Asia,220892340,23
Chile,13813,198,7327,6288,426,723.0,10.0,161235,8434,South America,19116201,35
Japan,13614,394,1899,11321,300,108.0,3.0,150692,1191,Asia,126476461,48
Poland,11902,562,2466,8874,160,314.0,15.0,297859,7870,Europe,37846611,42
Romania,11339,641,3141,7557,227,589.0,33.0,143834,7477,Europe,19237691,43
Belarus,11289,75,1740,9474,92,1195.0,8.0,153845,16281,Europe,9449323,40
Qatar,11244,10,1066,10168,72,3903.0,3.0,85709,29749,Asia,2881053,32
United Arab Emirates,10839,82,2090,8667,1,1096.0,8.0,1057326,106904,Asia,9890402,33
South Korea,10752,244,8854,1654,55,210.0,5.0,608514,11869,Asia,51269185,44
Indonesia,9096,765,1151,7180,0,33.0,3.0,75157,275,Asia,273523615,30
Ukraine,9009,220,864,7925,110,206.0,5.0,93519,2138,Europe,43733762,41
Denmark,8698,427,5959,2312,72,1502.0,74.0,155810,26900,Europe,5792202,42
Serbia,8275,162,1209,6904,85,947.0,19.0,67917,7773,Europe,8737371,42
Philippines,7777,511,932,6334,31,71.0,5.0,89889,820,Asia,109581078,26
Norway,7599,205,32,7362,52,1402.0,38.0,164316,30310,Europe,5421241,40
Czechia,7445,223,2826,4396,73,695.0,21.0,218474,20401,Europe,0,0
Australia,6725,84,5602,1039,43,264.0,3.0,517063,20277,Australia/Oceania,25499884,38
Dominican Republic,6293,282,993,5018,144,580.0,26.0,22498,2074,North America,10847910,28
Panama,6021,167,455,5399,89,1395.0,39.0,27834,6451,North America,4314767,30
Bangladesh,5913,152,131,5630,1,36.0,0.9,50401,306,Asia,164689383,28
Malaysia,5820,99,3957,1764,37,180.0,3.0,144686,4470,Asia,32365999,30
Colombia,5597,253,1210,4134,118,110.0,5.0,90899,1786,South America,50882891,31
South Africa,4793,90,1473,3230,36,81.0,2.0,178470,3009,Africa,59308690,28
Egypt,4782,337,1236,3209,0,47.0,3.0,90000,879,Africa,102334404,25
Finland,4695,193,2500,2002,56,847.0,35.0,82437,14878,Europe,5540720,43
Morocco,4120,162,695,3263,1,112.0,4.0,29254,793,Africa,36910560,30
Argentina,4003,197,1140,2666,144,89.0,4.0,51900,1148,South America,45195774,32
Luxembourg,3729,88,3123,518,20,5957.0,141.0,39102,62465,Europe,625978,40
Algeria,3517,432,1558,1527,40,80.0,10.0,6500,148,Africa,43851044,29
Moldova,3481,102,925,2454,212,863.0,25.0,11763,2916,Europe,4033963,38
Kuwait,3288,22,1012,2254,64,770.0,5.0,179000,41915,Asia,4270571,37
Thailand,2931,52,2609,270,61,42.0,0.7,178083,2551,Asia,69799978,40
Kazakhstan,2835,25,720,2090,35,151.0,1.0,205560,10948,Asia,18776707,31
Bahrain,2723,8,1218,1497,2,1600.0,5.0,117374,68980,Asia,1701575,32
Hungary,2583,280,498,1805,61,267.0,29.0,65625,6793,Europe,9660351,43
Greece,2534,136,577,1821,43,243.0,13.0,66094,6341,Europe,10423054,46
Oman,2049,10,364,1675,3,401.0,2.0,0,0,Asia,5106626,31
